file name,link,label_binary,local path
2cef1ae8-c6d5-4905-a062-5c0e79438fc1_page_0001.pdf,https://drive.google.com/file/d/1qPMJOpRIQuSaC5nvqy9blGGXzZN4oBI0/view?usp=drivesdk,no risk,/Users/idan/projects/sandbox/for_tal/data/______ ______/2cef1ae8-c6d5-4905-a062-5c0e79438fc1_page_0001.pdf
2cef1ae8-c6d5-4905-a062-5c0e79438fc1_page_0002.pdf,https://drive.google.com/file/d/1WnIzWDyOxkSPcMCjkbDymTRICv3sTFKR/view?usp=drivesdk,no risk,/Users/idan/projects/sandbox/for_tal/data/______ ______/2cef1ae8-c6d5-4905-a062-5c0e79438fc1_page_0002.pdf
2cef1ae8-c6d5-4905-a062-5c0e79438fc1_page_0003.pdf,https://drive.google.com/file/d/1EAc0g_yquRk2RlomSat3JpXsMPeR7Mtp/view?usp=drivesdk,no risk,/Users/idan/projects/sandbox/for_tal/data/______ ______/2cef1ae8-c6d5-4905-a062-5c0e79438fc1_page_0003.pdf
2cef1ae8-c6d5-4905-a062-5c0e79438fc1_page_0004.pdf,https://drive.google.com/file/d/1JZPDh_sQEukMOSgHDie-dpXWm8NNN-wP/view?usp=drivesdk,no risk,/Users/idan/projects/sandbox/for_tal/data/______ ______/2cef1ae8-c6d5-4905-a062-5c0e79438fc1_page_0004.pdf
2cef1ae8-c6d5-4905-a062-5c0e79438fc1_page_0005.pdf,https://drive.google.com/file/d/1ExLqkwp92CDMJbSGDj-gyNdeK25xZkqc/view?usp=drivesdk,no risk,/Users/idan/projects/sandbox/for_tal/data/______ ______/2cef1ae8-c6d5-4905-a062-5c0e79438fc1_page_0005.pdf
2cef1ae8-c6d5-4905-a062-5c0e79438fc1_page_0006.pdf,https://drive.google.com/file/d/15JL-gIvgdNZ8Nlv0sgFpvJWlOn73vmI-/view?usp=drivesdk,no risk,/Users/idan/projects/sandbox/for_tal/data/______ ______/2cef1ae8-c6d5-4905-a062-5c0e79438fc1_page_0006.pdf
2cef1ae8-c6d5-4905-a062-5c0e79438fc1_page_0007.pdf,https://drive.google.com/file/d/1g4FPyqqxZIb7EBmlOo5Vl6bZsN5SH3Fc/view?usp=drivesdk,no risk,/Users/idan/projects/sandbox/for_tal/data/______ ______/2cef1ae8-c6d5-4905-a062-5c0e79438fc1_page_0007.pdf
7eab033e-0e68-46c2-aff0-6a585129fa00_page_0001.pdf,https://drive.google.com/file/d/1hf5jz_hZ4PByjS67sntgysTzwxG4cEeG/view?usp=drivesdk,no risk,/Users/idan/projects/sandbox/for_tal/data/______ ______/7eab033e-0e68-46c2-aff0-6a585129fa00_page_0001.pdf
7eab033e-0e68-46c2-aff0-6a585129fa00_page_0002.pdf,https://drive.google.com/file/d/1NgnMvuP9T5jPJhu1KbkOzGZwvhL8S1xN/view?usp=drivesdk,no risk,/Users/idan/projects/sandbox/for_tal/data/______ ______/7eab033e-0e68-46c2-aff0-6a585129fa00_page_0002.pdf
7eab033e-0e68-46c2-aff0-6a585129fa00_page_0003.pdf,https://drive.google.com/file/d/1VBm0ArldjG08v34u80K3jL2MfLiQS0EE/view?usp=drivesdk,no risk,/Users/idan/projects/sandbox/for_tal/data/______ ______/7eab033e-0e68-46c2-aff0-6a585129fa00_page_0003.pdf
7eab033e-0e68-46c2-aff0-6a585129fa00_page_0004.pdf,https://drive.google.com/file/d/1WIhrrRBdPUMeyvUEyC3Yxi1X062o7m10/view?usp=drivesdk,no risk,/Users/idan/projects/sandbox/for_tal/data/______ ______/7eab033e-0e68-46c2-aff0-6a585129fa00_page_0004.pdf
7eab033e-0e68-46c2-aff0-6a585129fa00_page_0005.pdf,https://drive.google.com/file/d/1OJjd7Zle19Sm5ZpyPyyVEqMBbK88Uz-N/view?usp=drivesdk,no risk,/Users/idan/projects/sandbox/for_tal/data/______ ______/7eab033e-0e68-46c2-aff0-6a585129fa00_page_0005.pdf
7eab033e-0e68-46c2-aff0-6a585129fa00_page_0006.pdf,https://drive.google.com/file/d/1qAf46slY6EAIt1Kt23KU_ZWv_1t1_22C/view?usp=drivesdk,no risk,/Users/idan/projects/sandbox/for_tal/data/______ ______/7eab033e-0e68-46c2-aff0-6a585129fa00_page_0006.pdf
7eab033e-0e68-46c2-aff0-6a585129fa00_page_0007.pdf,https://drive.google.com/file/d/1yYZyi7zhWVbeJ1MXVgfhq1eQERRsknrB/view?usp=drivesdk,no risk,/Users/idan/projects/sandbox/for_tal/data/______ ______/7eab033e-0e68-46c2-aff0-6a585129fa00_page_0007.pdf
7eab033e-0e68-46c2-aff0-6a585129fa00_page_0008.pdf,https://drive.google.com/file/d/1W-Uwo8XLw5BU1pWfk8A-ywFiexEaDjVr/view?usp=drivesdk,no risk,/Users/idan/projects/sandbox/for_tal/data/______ ______/7eab033e-0e68-46c2-aff0-6a585129fa00_page_0008.pdf
7eab033e-0e68-46c2-aff0-6a585129fa00_page_0009.pdf,https://drive.google.com/file/d/1Xgd1vw2kemMkJBoCvqolcntTykMtqTbD/view?usp=drivesdk,no risk,/Users/idan/projects/sandbox/for_tal/data/______ ______/7eab033e-0e68-46c2-aff0-6a585129fa00_page_0009.pdf
7eab033e-0e68-46c2-aff0-6a585129fa00_page_0010.pdf,https://drive.google.com/file/d/1nL7ayS076K6ow1HKGGZJWEnPkmYdnjdj/view?usp=drivesdk,no risk,/Users/idan/projects/sandbox/for_tal/data/______ ______/7eab033e-0e68-46c2-aff0-6a585129fa00_page_0010.pdf
7eab033e-0e68-46c2-aff0-6a585129fa00_page_0011.pdf,https://drive.google.com/file/d/1oq-KeHFdI7jkqUWnxK-V1xITeeKL3GMR/view?usp=drivesdk,no risk,/Users/idan/projects/sandbox/for_tal/data/______ ______/7eab033e-0e68-46c2-aff0-6a585129fa00_page_0011.pdf
7eab033e-0e68-46c2-aff0-6a585129fa00_page_0012.pdf,https://drive.google.com/file/d/1xWTL_pYs34K45tx9GS4jUJLNjb2vMuJC/view?usp=drivesdk,no risk,/Users/idan/projects/sandbox/for_tal/data/______ ______/7eab033e-0e68-46c2-aff0-6a585129fa00_page_0012.pdf
7eab033e-0e68-46c2-aff0-6a585129fa00_page_0013.pdf,https://drive.google.com/file/d/1rVrDcO5LIgaepqNh3rvgvuNNAhtELTLX/view?usp=drivesdk,no risk,/Users/idan/projects/sandbox/for_tal/data/______ ______/7eab033e-0e68-46c2-aff0-6a585129fa00_page_0013.pdf
7eab033e-0e68-46c2-aff0-6a585129fa00_page_0014.pdf,https://drive.google.com/file/d/1JqrIaYJhePFy-RR-eRpWCxVp8ohCMDG4/view?usp=drivesdk,no risk,/Users/idan/projects/sandbox/for_tal/data/______ ______/7eab033e-0e68-46c2-aff0-6a585129fa00_page_0014.pdf
7eab033e-0e68-46c2-aff0-6a585129fa00_page_0015.pdf,https://drive.google.com/file/d/1vrZdGy_vnyxVO0rhixUuNljb4XriSBHz/view?usp=drivesdk,no risk,/Users/idan/projects/sandbox/for_tal/data/______ ______/7eab033e-0e68-46c2-aff0-6a585129fa00_page_0015.pdf
7eab033e-0e68-46c2-aff0-6a585129fa00_page_0016.pdf,https://drive.google.com/file/d/1q1v4sJO8K5Mt4M9XEZ1XT8wUNy6FyPbw/view?usp=drivesdk,no risk,/Users/idan/projects/sandbox/for_tal/data/______ ______/7eab033e-0e68-46c2-aff0-6a585129fa00_page_0016.pdf
7eab033e-0e68-46c2-aff0-6a585129fa00_page_0017.pdf,https://drive.google.com/file/d/19_qLHUmSchrb6p2IXxfIIxUzM_kE8A4z/view?usp=drivesdk,no risk,/Users/idan/projects/sandbox/for_tal/data/______ ______/7eab033e-0e68-46c2-aff0-6a585129fa00_page_0017.pdf
7eab033e-0e68-46c2-aff0-6a585129fa00_page_0018.pdf,https://drive.google.com/file/d/1rSI1LAZyXPiRE1_gNYZ8QDXQ33XBkaPh/view?usp=drivesdk,no risk,/Users/idan/projects/sandbox/for_tal/data/______ ______/7eab033e-0e68-46c2-aff0-6a585129fa00_page_0018.pdf
