file_path,page_num,institution,template_family,label_binary,split,drive_link,drive_id,source_folder,source_doc_stem,is_edge_case,D,H,S,L,risk_score
2cef1ae8-c6d5-4905-a062-5c0e79438fc1_page_0002.pdf,2,regular_docs,regular_form,0,train,https://drive.google.com/file/d/1WnIzWDyOxkSPcMCjkbDymTRICv3sTFKR/view?usp=drivesdk,1WnIzWDyOxkSPcMCjkbDymTRICv3sTFKR,regular_forms,2cef1ae8-c6d5-4905-a062-5c0e79438fc1,False,2,0,0,0,1
2cef1ae8-c6d5-4905-a062-5c0e79438fc1_page_0003.pdf,3,regular_docs,regular_form,0,train,https://drive.google.com/file/d/1EAc0g_yquRk2RlomSat3JpXsMPeR7Mtp/view?usp=drivesdk,1EAc0g_yquRk2RlomSat3JpXsMPeR7Mtp,regular_forms,2cef1ae8-c6d5-4905-a062-5c0e79438fc1,False,2,0,0,1,2
2cef1ae8-c6d5-4905-a062-5c0e79438fc1_page_0004.pdf,4,regular_docs,regular_form,0,train,https://drive.google.com/file/d/1JZPDh_sQEukMOSgHDie-dpXWm8NNN-wP/view?usp=drivesdk,1JZPDh_sQEukMOSgHDie-dpXWm8NNN-wP,regular_forms,2cef1ae8-c6d5-4905-a062-5c0e79438fc1,False,1,0,0,0,2
2cef1ae8-c6d5-4905-a062-5c0e79438fc1_page_0005.pdf,5,regular_docs,regular_form,0,train,https://drive.google.com/file/d/1ExLqkwp92CDMJbSGDj-gyNdeK25xZkqc/view?usp=drivesdk,1ExLqkwp92CDMJbSGDj-gyNdeK25xZkqc,regular_forms,2cef1ae8-c6d5-4905-a062-5c0e79438fc1,False,1,0,0,0,2
2cef1ae8-c6d5-4905-a062-5c0e79438fc1_page_0007.pdf,7,regular_docs,regular_form,0,train,https://drive.google.com/file/d/1g4FPyqqxZIb7EBmlOo5Vl6bZsN5SH3Fc/view?usp=drivesdk,1g4FPyqqxZIb7EBmlOo5Vl6bZsN5SH3Fc,regular_forms,2cef1ae8-c6d5-4905-a062-5c0e79438fc1,False,1,1,1,2,6
7eab033e-0e68-46c2-aff0-6a585129fa00_page_0001.pdf,1,regular_docs,regular_form,0,train,https://drive.google.com/file/d/1hf5jz_hZ4PByjS67sntgysTzwxG4cEeG/view?usp=drivesdk,1hf5jz_hZ4PByjS67sntgysTzwxG4cEeG,regular_forms,7eab033e-0e68-46c2-aff0-6a585129fa00,False,2,0,1,2,4
7eab033e-0e68-46c2-aff0-6a585129fa00_page_0002.pdf,2,regular_docs,regular_form,0,train,https://drive.google.com/file/d/1NgnMvuP9T5jPJhu1KbkOzGZwvhL8S1xN/view?usp=drivesdk,1NgnMvuP9T5jPJhu1KbkOzGZwvhL8S1xN,regular_forms,7eab033e-0e68-46c2-aff0-6a585129fa00,False,2,0,1,2,4
7eab033e-0e68-46c2-aff0-6a585129fa00_page_0003.pdf,3,regular_docs,regular_form,0,train,https://drive.google.com/file/d/1VBm0ArldjG08v34u80K3jL2MfLiQS0EE/view?usp=drivesdk,1VBm0ArldjG08v34u80K3jL2MfLiQS0EE,regular_forms,7eab033e-0e68-46c2-aff0-6a585129fa00,False,1,0,0,1,3
7eab033e-0e68-46c2-aff0-6a585129fa00_page_0004.pdf,4,regular_docs,regular_form,0,train,https://drive.google.com/file/d/1WIhrrRBdPUMeyvUEyC3Yxi1X062o7m10/view?usp=drivesdk,1WIhrrRBdPUMeyvUEyC3Yxi1X062o7m10,regular_forms,7eab033e-0e68-46c2-aff0-6a585129fa00,False,2,0,1,2,4
7eab033e-0e68-46c2-aff0-6a585129fa00_page_0005.pdf,5,regular_docs,regular_form,0,train,https://drive.google.com/file/d/1OJjd7Zle19Sm5ZpyPyyVEqMBbK88Uz-N/view?usp=drivesdk,1OJjd7Zle19Sm5ZpyPyyVEqMBbK88Uz-N,regular_forms,7eab033e-0e68-46c2-aff0-6a585129fa00,False,2,0,1,2,4
